Представление,Основной контакт,ЭДО,Основные сведения
АВТОДИЗЕЛЬ АТЦ ООО,Плотников Михаил Борисович,1,"ООО ""АВТОДИЗЕЛЬ АТЦ""
ИНН 2411028912
КПП 241101001
ОГРН 1182468041898
660015, Красноярский край, р-н Емельяновский, п Солонцы, пр-кт Котельникова, дом 13А
660015, Красноярский край, р-н Емельяновский, п Солонцы, пр-кт Котельникова, дом 13А
Плотников Михаил Борисович
Прыткина Анна Николаевна"
АВТОДИЗЕЛЬ АТЦ+ ООО,Плотников Михаил Борисович,1,"ООО ""АВТОДИЗЕЛЬ АТЦ+""
ИНН 2411031834
КПП 241101001
ОГРН 1222400009864
L2913613@yandex.ru
660015, Красноярский Край, м.р-н Емельяновский, с.п. Солонцовский Сельсовет, п Солонцы, пр-кт Котельникова, строение 13А
660015, Красноярский Край, м.р-н Емельяновский, с.п. Солонцовский Сельсовет, п Солонцы, пр-кт Котельникова, строение 13А
Плотников Михаил Борисович
Прыткина Анна Николаевна"
АВТОКАРТ ООО,Ибрагимов Альберт Шагитович,1,"ООО ""АВТОКАРТ""
ИНН 5904336010
КПП 590401001
ОГРН 1165958079880
2275465@mail.ru
+7 (342) 227-56-00
614033, Пермский край, г. Пермь, ул. Василия Васильева, дом 3В, корпус 2
614033, Пермский край, г. Пермь, ул. Василия Васильева, дом 3В, корпус 2
Ибрагимов Альберт Шагитович
Прыткина Анна Николаевна"
АВТОКОМ ООО,Пономарев Александр Юрьевич,1,"ООО ""АВТОКОМ""
ИНН 1215124921
КПП 121501001
ОГРН 1071215008292
424030, Марий Эл респ, г. Йошкар-Ола, ул. Карла Либкнехта, дом 108
424030, Марий Эл респ, г. Йошкар-Ола, ул. Карла Либкнехта, дом 108
Пономарев Александр Юрьевич
Ощепков Андрей Сергеевич"
АВТОКОМПЛЕКС ООО,,1,"ООО АВТОКОМПЛЕКС
ИНН 6678104505
КПП 667801001
zamki-furgon@yandex.ru
83433857126
623700 Свердловская область, г.Березовский,ул. Западная промзона, сооружение 16
623700 Свердловская область, г.Березовский,ул. Западная промзона, сооружение 16
Харитонов Максим"
АВТОКОМПЛЕКТ ООО,Лебединцев Максим Вячеславович,1,"ООО ""АВТОКОМПЛЕКТ""
ИНН 5024152883
КПП 502401001
ОГРН 1155024002110
optimum3213@yandex.ru
8(495)532-93-43
143420, Московская обл, Красногорск г, Архангельское п, строение 14, комната 6
143420, Московская обл, Красногорск г, Архангельское п, строение 14, комната 6
Лебединцев Максим Вячеславович
Сезнева Ирина"
АВТОКРЕПЕЖ-НЧ ООО,Даутова Гульшат Батыршиновна,1,"ООО ""АВТОКРЕПЕЖ-НЧ""
ИНН 1650206434
КПП 165001001
ОГРН 1101650004521
423800, Республика Татарстан (Татарстан), г. Набережные Челны, пр-кт Казанский, дом 224/13, бокс 17 ГАРАЖ 10
423800, Республика Татарстан (Татарстан), г. Набережные Челны, пр-кт Казанский, дом 224/13, бокс 17 ГАРАЖ 10
Даутова Гульшат Батыршиновна
Прыткина Анна Николаевна"
АВТО-КРК ООО,Драгун Наталья Владимировна,,"ООО ""АВТО-КРК""
ИНН 2465319900
КПП 246501001
ОГРН 1142468054497
auto-krk@mail.ru
+7 (902) 922-00-03
660055, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Джамбульская, дом 16, строение 1, офис 1
660055, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Джамбульская, дом 16, строение 1, офис 1
Драгун Наталья Владимировна
Коваленко Степан"
АВТОЛАЙН ООО ТК,Оксентюк Виталий Андреевич,1,"ООО ТК ""АВТОЛАЙН""
ИНН 5405978291
КПП 541001001
ОГРН 1165476117938
630027, Новосибирская обл, Новосибирск г, Дунаевского ул, дом № 1, офис 14


Оксентюк Виталий Андреевич
Администратор"
АВТОЛИДЕР ООО,Тураев Николай Анатольевич,1,"ООО ""АВТОЛИДЕР""
ИНН 0326012178
КПП 540701001
ОГРН 1020300978741
leonova.a@autoleader1.ru
+7(3012) 21-74-44 (доб.4)
630132, Новосибирская обл, Новосибирск г, Сибирская ул, дом 57, квартира 8
630132, Новосибирская обл, Новосибирск г, Сибирская ул, дом 57, квартира 8
Тураев Николай Анатольевич
Сезнева Ирина"
АВТОЛИЗИНГ ООО,Залеев Вадим Константинович,,"ООО ""АВТОЛИЗИНГ""
ИНН 7705357845
КПП 770501001
ОГРН 1027739053583
119049, Город Москва, ул. Коровий Вал, дом 5, этаж 4
119049, Город Москва, ул. Коровий Вал, дом 5, этаж 4
Залеев Вадим Константинович
Ощепков Андрей Сергеевич"
АВТОМАГ-НН ООО,,1,"ООО ""АВТОМАГ-НН""
ИНН 5256172696
КПП 525601001
ОГРН 1185275021557
603069, Нижегородская обл, Нижний Новгород г, Стригинский пер, дом № 5А, квартира 1
603069, Нижегородская обл, Нижний Новгород г, Стригинский пер, дом № 5А, квартира 1"
АВТОМАНН 52 ООО,,,"ООО ""АВТОМАНН 52""
ИНН 5250069766
КПП 525001001
607684, Нижегородская обл, Кстовский р-н, Большая Ельня с, Промзона ул, строение №7, офис 1
Леонтьева Алена"
АВТОМАНН52 ООО,,,"ООО ""АВТОМАНН52""
ИНН 5250069766
КПП 525001001"
АВТОМАРКЕТ НАВИГАТОР ООО,Воробьев Иван Анатольевич,,"ООО ""АВТОМАРКЕТ НАВИГАТОР""
ИНН 2465155240
КПП 246501001
ОГРН 1162468116469
660032, Красноярский край, Красноярск г, Белинского ул, дом № 3, помещение 131, комната 3
660032, Красноярский край, Красноярск г, Белинского ул, дом № 3, помещение 131, комната 3


Воробьев Иван Анатольевич
Администратор"
АВТОМАРКЕТ ООО,Тугужеков Евгений Анатольевич,1,"ООО ""АВТОМАРКЕТ""
ИНН 2466272726
КПП 246501001
ОГРН 1142468028449
+7(391)231-24-16 +7(967)608-33-93 Viber/WhatsApp +7(391)278-33-93
660118, Красноярский край, г.о. Город Красноярск, г Красноярск, проезд Связистов, здание 30, помещение 1 КАБ.1
660118, Красноярский край, г.о. Город Красноярск, г Красноярск, проезд Связистов, здание 30, помещение 1 КАБ.1


Тугужеков Евгений Анатольевич
Калинин Дмитрий Владимирович"
АВТОМЕТИЗ-НН ООО,Крупин Сергей Николаевич,1,"ООО ""АВТОМЕТИЗ-НН""
ИНН 5257113735
КПП 525801001
ОГРН 1095257006811
sales-nsk@avtometiz-nn.ru
(831) 275-89-38, 275-89-43
603090, Нижегородская обл, г. Нижний Новгород, ул. Новикова-Прибоя, дом 16, офис 14
603090, Нижегородская обл, г. Нижний Новгород, ул. Новикова-Прибоя, дом 16, офис 14
Крупин Сергей Николаевич
Дубинина Светлана Валерьевна"
